n,k,graph_seed,pop,run,budget_s,record
2000,8,7,64,3,5,706473
2000,8,7,64,3,10,706446
2000,8,7,64,3,20,706439
2000,8,7,64,3,30,706439
2000,8,8,1024,1,0.25,708471
2000,8,8,1024,1,0.5,707661
2000,8,8,1024,1,1,707239
2000,8,8,1024,1,2,706824
2000,8,8,1024,1,5,706417
2000,8,8,1024,1,10,706265
2000,8,8,1024,1,20,706213
2000,8,8,1024,1,30,706213
2000,8,8,1024,2,0.25,708543
2000,8,8,1024,2,0.5,707833
2000,8,8,1024,2,1,707125
2000,8,8,1024,2,2,706791
2000,8,8,1024,2,5,706401
2000,8,8,1024,2,10,706275
2000,8,8,1024,2,20,706213
2000,8,8,1024,2,30,706213
2000,8,8,1024,3,0.25,708364
2000,8,8,1024,3,0.5,707761
2000,8,8,1024,3,1,707265
2000,8,8,1024,3,2,706839
2000,8,8,1024,3,5,706521
2000,8,8,1024,3,10,706476
2000,8,8,1024,3,20,706240
2000,8,8,1024,3,30,706181
2000,8,8,128,1,0.25,707147
2000,8,8,128,1,0.5,706849
2000,8,8,128,1,1,706637
2000,8,8,128,1,2,706477
2000,8,8,128,1,5,706408
2000,8,8,128,1,10,706392
2000,8,8,128,1,20,706286
2000,8,8,128,1,30,706249
2000,8,8,128,2,0.25,706961
2000,8,8,128,2,0.5,706652
2000,8,8,128,2,1,706458
2000,8,8,128,2,2,706329
2000,8,8,128,2,5,706236
2000,8,8,128,2,10,706236
2000,8,8,128,2,20,706208
2000,8,8,128,2,30,706208
2000,8,8,128,3,0.25,707117
2000,8,8,128,3,0.5,706773
2000,8,8,128,3,1,706556
2000,8,8,128,3,2,706378
2000,8,8,128,3,5,706342
2000,8,8,128,3,10,706335
2000,8,8,128,3,20,706253
2000,8,8,128,3,30,706253
2000,8,8,2048,1,0.25,709037
2000,8,8,2048,1,0.5,708310
2000,8,8,2048,1,1,707729
2000,8,8,2048,1,2,707209
2000,8,8,2048,1,5,706644
2000,8,8,2048,1,10,706418
2000,8,8,2048,1,20,706298
2000,8,8,2048,1,30,706213
2000,8,8,2048,2,0.25,709036
2000,8,8,2048,2,0.5,708435
2000,8,8,2048,2,1,707807
2000,8,8,2048,2,2,707226
